MONA_CD,HG_NM,HJ_NM,ENG_NM,BTH_GBN_NM,BTH_DATE,SEX_GBN_NM,REELE_GBN_NM,UNITS,UNIT_CD,UNIT_NM,POLY_NM,ORIG_NM,ELECT_GBN_NM
XQ98168F,강길부,姜吉夫,KANG GHILBOO,양,1942-06-05,남,4선,"제17대, 제18대, 제19대, 제20대",100020,제20대,무소속,울산 울주군,지역구
60490713,강병원,姜炳遠,KANG BYUNGWON,양,1971-07-09,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,서울 은평구을,지역구
IH436704,강석진,姜錫振,KANG SEOGJIN,양,1959-12-07,남,초선,제20대,100020,제20대,미래통합당,경남 산청군함양군거창군합천군,지역구
8I61593E,강석호,姜碩鎬,KANG SEOKHO,양,1955-12-03,남,3선,"제18대, 제19대, 제20대",100020,제20대,미래통합당,경북 영양군영덕군봉화군울진군,지역구
TOU1222X,강창일,姜昌一,KANG CHANGIL,양,1952-01-28,남,4선,"제17대, 제18대, 제19대, 제20대",100020,제20대,더불어민주당,제주 제주시갑,지역구
9WQ7845Z,강효상,姜孝祥,KHANG HYOSHANG,양,1961-03-01,남,초선,제20대,100020,제20대,미래통합당,비례대표,비례대표
TRE2429O,강훈식,姜勳植,KANG HOONSIK,양,1973-10-24,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,충남 아산시을,지역구
23D73143,경대수,慶大秀,KYEONG DAESOO,양,1958-03-18,남,재선,"제19대, 제20대",100020,제20대,미래통합당,충북 증평군진천군음성군,지역구
6V37131U,고용진,高榕진,KOH YONGJIN,양,1964-08-06,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,서울 노원구갑,지역구
Q6A9034Q,곽대훈,郭大勳,KWAK DAEHOON,양,1955-06-05,남,초선,제20대,100020,제20대,무소속,대구 달서구갑,지역구
MHK9919B,곽상도,郭尙道,KWAK SANGDO,양,1959-12-23,남,재선,"제20대, 제21대",100020,제20대,새누리당,대구 중구남구,지역구
RH454994,권미혁,權美赫,KWON MIHYUK,음,1959-01-10,여,초선,제20대,100020,제20대,더불어민주당,비례대표,지역구
O149331C,권석창,權錫昌,KWON SOKCHANG,양,1966-08-06,남,초선,제20대,100020,제20대,자유한국당,충북 제천시단양군,지역구
GDG1847Z,권성동,權性東,KWEON SEONGDONG,양,1960-04-29,남,4선,"제18대, 제19대, 제20대, 제21대",100020,제20대,새누리당,강원 강릉시,지역구
YKW37422,권은희,權垠希,KWON EUNHEE,양,1974-02-15,여,3선,"제19대, 제20대, 제21대",100020,제20대,국민의당,광주 광산구을,지역구
C7E79345,권칠승,權七勝,KWON CHILSEUNG,양,1965-11-18,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,경기 화성시병,지역구
QZR19240,금태섭,琴泰燮,KEUM TAESUP,양,1967-09-29,남,초선,제20대,100020,제20대,더불어민주당,서울 강서구갑,지역구
B7R2742J,기동민,奇東旻,KI DONGMIN,양,1966-02-23,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,서울 성북구을,지역구
PP08673W,김경수,金慶洙,KIM KYOUNGSOO,양,1967-12-01,남,초선,제20대,100020,제20대,더불어민주당,경남 김해시을,지역구
YVN3115U,김경진,金京鎭,KIM KYUNGJIN,양,1966-07-14,남,초선,제20대,100020,제20대,무소속,광주 북구갑,지역구
ZKU88693,김경협,金炅俠,KIM KYUNGHYUP,음,1962-11-07,남,3선,"제19대, 제20대, 제21대",100020,제20대,더불어민주당,경기 부천시원미구갑,지역구
W168182V,김관영,金寬永,KIM KWANYOUNG,양,1969-11-15,남,재선,"제19대, 제20대",100020,제20대,무소속,전북 군산시,지역구
