HG_NM,HG_NM,HJ_NM,BTH_DATE,SEX_GBN_NM,elected_cnt,POLY_NM,ORIG_NM
강기윤,강기윤,姜起潤,1960-06-04,남,2,국민의힘,경남 창원시성산구
강대식,강대식,姜大植,1959-11-02,남,1,국민의힘,대구 동구을
강득구,강득구,姜得求,1963-05-27,남,1,더불어민주당,경기 안양시만안구
강민국,강민국,姜旻局,1971-03-03,남,1,국민의힘,경남 진주시을
강민정,강민정,姜旼姃,1961-04-26,여,1,더불어민주연합,비례대표
강병원,강병원,姜炳遠,1971-07-09,남,2,더불어민주당,서울 은평구을
강선우,강선우,姜仙祐,1978-06-02,여,1,더불어민주당,서울 강서구갑
강성희,강성희,姜聖熙,1972-09-07,남,1,진보당,전북 전주시을
강은미,강은미,姜恩美,1970-09-06,여,1,녹색정의당,비례대표
강준현,강준현,康準鉉,1964-08-19,남,1,더불어민주당,세종특별자치시을
강훈식,강훈식,姜勳植,1973-10-24,남,2,더불어민주당,충남 아산시을
고민정,고민정,高旼廷,1979-08-23,여,1,더불어민주당,서울 광진구을
고영인,고영인,高永寅,1963-07-07,남,1,더불어민주당,경기 안산시단원구갑
고용진,고용진,高榕진,1964-08-06,남,2,더불어민주당,서울 노원구갑
구자근,구자근,具滋根,1967-10-09,남,1,국민의힘,경북 구미시갑
권명호,권명호,權明浩,1961-01-10,남,1,국민의힘,울산 동구
권성동,권성동,權性東,1960-04-29,남,4,국민의힘,강원 강릉시
권영세,권영세,權寧世,1959-02-24,남,4,국민의힘,서울 용산구
권인숙,권인숙,權仁淑,1964-08-28,여,1,더불어민주연합,비례대표
권칠승,권칠승,權七勝,1965-11-18,남,2,더불어민주당,경기 화성시병
기동민,기동민,奇東旻,1966-02-23,남,2,더불어민주당,서울 성북구을
김경만,김경만,金京萬,1962-09-23,남,1,더불어민주연합,비례대표
김경협,김경협,金炅俠,1962-11-07,남,3,더불어민주당,경기 부천시갑
김교흥,김교흥,金敎興,1960-08-30,남,2,더불어민주당,인천 서구갑
김근태,김근태,金僅泰,1990-11-25,남,1,국민의미래,비례대표
김기현,김기현,金起炫,1959-02-21,남,4,국민의힘,울산 남구을
김남국,김남국,金南局,1982-10-22,남,1,더불어민주연합,경기 안산시단원구을
김도읍,김도읍,金度邑,1964-07-06,남,3,국민의힘,부산 북구강서구을
김두관,김두관,金斗官,1959-04-10,남,2,더불어민주당,경남 양산시을
김미애,김미애,金美愛,1969-10-06,여,1,국민의힘,부산 해운대구을
김민기,김민기,金敏基,1966-04-28,남,3,더불어민주당,경기 용인시을
김민석,김민석,金民錫,1964-05-29,남,3,더불어민주당,서울 영등포구을
김민철,김민철,金敏徹,1967-11-18,남,1,더불어민주연합,경기 의정부시을
김병기,김병기,金炳基,1961-07-10,남,2,더불어민주당,서울 동작구갑
김병욱,김병욱,金炳旭,1977-04-30,남,1,국민의미래,경북 포항시남구울릉군
김병욱A,김병욱A,金炳旭,1965-04-15,남,2,더불어민주당,경기 성남시분당구을
김병주,김병주,金柄周,1962-02-07,남,1,더불어민주당,비례대표
김상훈,김상훈,金相勳,1963-01-25,남,3,국민의힘,대구 서구
김상희,김상희,金相姬,1954-05-18,여,4,더불어민주당,경기 부천시병
김석기,김석기,金碩基,1954-08-06,남,2,국민의힘,경북 경주시
김성원,김성원,金成願,1973-10-15,남,2,국민의힘,경기 동두천시연천군
김성주,김성주,金成柱,1964-04-10,남,2,더불어민주당,전북 전주시병
김성환,김성환,金星煥,1965-10-15,남,2,더불어민주당,서울 노원구병
김수흥,김수흥,金洙興,1961-04-29,남,1,더불어민주당,전북 익산시갑
김승남,김승남,金承南,1965-10-06,남,2,더불어민주당,전남 고흥군보성군장흥군강진군
